name,pos,ang,sca,coll
1st_ie.X,-111/125.96/172.36,0.000000/-0.909658/0.000000/0.415359,1/1/1,0,0
3rdHouse.X,-158.39/121.56/146.4,0.000000/0.707107/0.000000/0.707107,1/1/1,0,0
Building_A.X,-150.29/121.81/140.1,-0.500000/-0.500000/-0.500000/0.500000,1/1/1,0,0
1st_ie.X,-114.52/125.96/161.19,0.000000/0.574149/0.000000/0.818751,1/1/1,0,0
3rdHouse.X,-110.99/121.56/152.1,0.000000/-0.178528/0.000000/0.983935,0.9999999/1/0.9999999,0,0
Building_e.X,-101.06/124.31/138.15,-0.500000/-0.500000/-0.500000/0.500000,1/1/1,0,0
1st_ie.X,-122.7/125.96/170.86,0.000000/-0.602915/0.000000/0.797806,1/1/1,0,0
Building_B.X,-148.53/121.81/155.44,-0.582669/-0.400621/-0.400621/0.582669,1/1/1,0,0
3rdHouse.X,-120/121.56/177.96,0.000000/0.828977/0.000000/0.559283,1/1/1,0,0
3rdHouse.X,-133.49/121.56/189.84,0.000000/-0.256149/0.000000/0.966637,1/1/1,0,0
Building_A.X,-139.15/121.81/163.86,-0.688659/-0.160464/-0.160464/0.688659,0.9999998/0.9999999/1,0,0
3rdHouse.X,-135.6299/121.56/174.24,0.000000/-0.013267/0.000000/0.999912,1/1/1,0,0
Building_e.X,-156.19/124.31/177.81,-0.487373/0.512316/0.512316/0.487373,1/1/1,0,0
3rdHouse.X,-105.12/121.56/186.85,0.000000/0.833843/0.000000/-0.552002,1/1/1,0,0
Building_B.X,-149.48/121.81/196.44,-0.188642/0.681479/0.681479/0.188642,1/1.000001/1.000001,0,0
Building_B.X,-126.18/121.81/193.2,-0.706967/-0.014056/-0.014056/0.706967,1/1.000001/1.000001,0,0
3rdHouse.X,-121.36/121.56/150.7,0.000000/0.007038/0.000000/0.999975,1/1/1,0,0
Building_B.X,-117.68/121.81/190.4,-0.666019/0.237528/0.237528/0.666019,1/1.000001/1,0,0
Building_B.X,-141.63/121.81/148.21,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Building_A.X,-141.62/121.81/132.13,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Building_A.X,-130.02/121.81/149.03,0.000000/0.707107/0.707107/0.000000,1/1/1,0,0
1st_ie.X,-70/125.96/185.4,0.000000/0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
Tent.X,-76.47/121.86/181.87,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Well.X,-86.6/121.86/185.2,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Tent.X,-76.47/121.86/178.77,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Tent.X,-76.47/121.86/189.1,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Tent.X,-76.47/121.86/192,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Food_A.X,-76.127/122.433/192.767,-0.707107/0.000000/0.000000/0.707107,1/1/1,0,0
1st_ie_small.X,-92.57944/122.93/210.774,0.000000/-0.707107/0.000000/0.707107,1/1/1,0,0
1st_ie_small.X,-78.44476/122.88/201.4921,0.000000/0.707107/0.000000/0.707107,1/1/1,0,0
1st_ie_small.X,-80.69999/122.73/166.5,0.000000/1.000000/0.000000/0.000000,1/1/1,0,0
1st_ie_small.X,-89/122.6/163.8,0.000000/1.000000/0.000000/0.000000,1/1/1,0,0
1st_ie_small.X,-112.64/122.6/209.95,0.000000/0.275591/0.000000/0.961275,1/1/1,0,0
1st_ie_small.X,-75.4/122.88/209.3,0.000000/0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_ie_small.X,-90.6/122.93/218.7,0.000000/-0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_ie_small.X,-97.0381/122.88/194.3365,0.000000/-0.527998/0.000000/0.849246,1.000001/1/1.000001,0,0
1st_ie_small.X,-90.85303/122.88/199.9915,0.000000/-0.527998/0.000000/0.849246,1.000001/1/1.000001,0,0
Food_A.X,-75.594/122.433/192.767,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-76.127/122.433/191.135,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-75.594/122.433/191.135,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-76.127/122.433/191.949,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-75.594/122.433/191.949,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-76.127/122.433/180.93,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-75.594/122.433/181.744,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-76.127/122.433/188.21,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-75.594/122.433/188.22,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-76.127/122.433/189.034,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
Food_A.X,-75.594/122.433/189.034,-0.707107/0.000000/0.000000/0.707107,1/1.000001/1.000001,0,0
1st_saku.X,-87.52/123/158.7,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-84.69/123/158.7,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-92.57/123/160.79,0.000000/0.261219/0.000000/0.965280,0.9999999/1/0.9999999,0,0
1st_saku.X,-90.1262/123/159.3627,0.000000/0.261219/0.000000/0.965280,0.9999999/1/0.9999999,0,0
1st_saku.X,-95.81818/123/165.1338,0.000000/0.511529/0.000000/0.859266,0.9999999/1/0.9999999,0,0
1st_saku.X,-94.46925/123/162.6459,0.000000/0.511529/0.000000/0.859266,0.9999999/1/0.9999999,0,0
1st_saku.X,-96.32/123/170.54,0.000000/0.707107/0.000000/0.707107,1/1/1,0,0
1st_saku.X,-96.3666/123/167.7104,0.000000/0.707107/0.000000/0.707107,1/1/1,0,0
1st_saku.X,-100.02/123/174,0.000000/0.261219/0.000000/0.965280,0.9999998/1/0.9999998,0,0
1st_saku.X,-97.5762/123/172.5727,0.000000/0.261219/0.000000/0.965280,0.9999998/1/0.9999998,0,0
1st_saku.X,-104.284/123/171.742,0.000000/-0.382055/0.000000/0.924140,1/1/1,0,0
1st_saku.X,-102.2802/123/173.7405,0.000000/-0.382055/0.000000/0.924140,1/1/1,0,0
1st_saku.X,-78.06001/123/158.94,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-75.7/123/159.98,0.000000/-0.391360/0.000000/0.920238,1/1/1,0,0
1st_saku.X,-73.794/123/161.977,0.000000/-0.391360/0.000000/0.920238,1/1/1,0,0
1st_saku.X,-71.866/123/163.953,0.000000/-0.391360/0.000000/0.920238,1/1/1,0,0
1st_saku.X,-69.96/123/165.95,0.000000/-0.391360/0.000000/0.920238,1/1/1,0,0
1st_saku.X,-68.016/123/167.923,0.000000/-0.391360/0.000000/0.920238,1/1/1,0,0
1st_saku.X,-66.11/123/169.92,0.000000/-0.391360/0.000000/0.920238,1/1/1,0,0
1st_saku.X,-65.05/123/175.1,0.000000/0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_saku.X,-65.0966/123/172.2704,0.000000/0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_saku.X,-63.77/123/176.63,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-60.94/123/176.63,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-100.4638/123/197.6073,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-97.87/123/198.16,0.000000/-0.201715/0.000000/0.979444,1/1/1,0,0
1st_saku.X,-105.5138/123/199.6973,0.000000/0.261219/0.000000/0.965280,0.9999998/1/0.9999998,0,0
1st_saku.X,-103.07/123/198.27,0.000000/0.261219/0.000000/0.965280,0.9999998/1/0.9999998,0,0
1st_saku.X,-108.762/123/204.0411,0.000000/0.511529/0.000000/0.859266,0.9999998/1/0.9999998,0,0
1st_saku.X,-107.413/123/201.5532,0.000000/0.511529/0.000000/0.859266,0.9999998/1/0.9999998,0,0
1st_saku.X,-109.2638/123/209.4473,0.000000/0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_saku.X,-109.3104/123/206.6177,0.000000/0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_saku.X,-112.9638/123/212.9073,0.000000/0.261219/0.000000/0.965280,0.9999998/1/0.9999998,0,0
1st_saku.X,-110.52/123/211.48,0.000000/0.261219/0.000000/0.965280,0.9999998/1/0.9999998,0,0
1st_saku.X,-117.2278/123/210.6493,0.000000/-0.382055/0.000000/0.924140,1/1/1,0,0
1st_saku.X,-115.224/123/212.6478,0.000000/-0.382055/0.000000/0.924140,1/1/1,0,0
1st_saku.X,-121.1938/123/206.6915,0.000000/-0.382055/0.000000/0.924140,1/1/1,0,0
1st_saku.X,-119.19/123/208.69,0.000000/-0.382055/0.000000/0.924140,1/1/1,0,0
1st_saku.X,-122.11/123/204.4,0.000000/-0.721826/0.000000/0.692075,1/1/1,0,0
1st_saku.X,-95.6681/123/199.6903,0.000000/-0.393658/0.000000/0.919257,1/1/1,0,0
1st_saku.X,-94.79226/123/202.116,0.000000/-0.722019/0.000000/0.691873,1/1/1,0,0
1st_saku.X,-94.92226/123/204.8736,0.000000/-0.722019/0.000000/0.691873,1/1/1,0,0
1st_saku.X,-95.02193/123/207.6325,0.000000/-0.722019/0.000000/0.691873,1/1/1,0,0
1st_saku.X,-95.15196/123/210.39,0.000000/-0.722019/0.000000/0.691873,1/1/1,0,0
1st_saku.X,-95.23843/123/213.1585,0.000000/-0.722019/0.000000/0.691873,1/1/1,0,0
1st_saku.X,-95.36843/123/215.9161,0.000000/-0.722019/0.000000/0.691873,1/1/1,0,0
1st_saku.X,-98.38598/123/220.2578,0.000000/0.371656/0.000000/0.928371,1/1/1,0,0
1st_saku.X,-96.37021/123/218.2714,0.000000/0.371656/0.000000/0.928371,1/1/1,0,0
1st_saku.X,-98.61/123/222.24,0.000000/-0.393658/0.000000/0.919257,1/1/1,0,0
1st_saku.X,-96.65712/123/224.2882,0.000000/-0.393658/0.000000/0.919257,1/1/1,0,0
house1.X,-219.4713/119.89/207.9,0.693520/-0.011000/0.718003/-0.058152,1/1/1,0,0
house2.X,-218.6752/124.56/263.7809,0.036079/-0.001737/-0.998191/0.048069,1/0.9999998/1,0,0
1st_ie.X,-174.3744/121.7042/255.574,0.173039/-0.983999/-0.009389/-0.041429,1/1/1,0,0
1st_ie.X,-205.2638/124.9/252.8675,0.123351/-0.605013/-0.005268/0.786586,1.000001/1/1.000001,0,0
Bridge.X,-200.0045/129.41/272.2947,-0.490432/-0.509388/-0.509388/0.490432,2/2/1,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.600001/13/1,1,0
Bridge.X,-197.4364/129.41/272.3919,-0.490432/-0.509388/-0.509388/0.490432,2/2.000001/1.000001,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.600001/13.00001/1.000001,1,0
Bridge.X,-188.9121/126.88/263.9991,-0.707026/-0.010696/-0.010696/0.707026,2/2.000001/1,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.6/13/1,1,0
1st_ie_small.X,-187.5607/125.92/272.6977,-0.138150/-0.501577/0.101273/0.847985,1/1/1,0,0
1st_ie_small.X,-190.6089/126.6251/272.2405,-0.067045/-0.990677/-0.015894/0.117519,1/1/1,0,0
Building_B.X,-185.5064/120.69/267.6107,-0.706574/-0.027455/-0.027455/0.706574,1/1.000001/1.000001,0,0
Building_A.X,-189.1417/121.968/257.72,-0.011483/0.822197/0.568887/0.015082,1.000001/1/1,0,0
Building_B.X,-201.2408/118.9879/283.57,-0.754745/-0.320131/-0.282377/0.498137,1/1/1.000001,0,0
house1.X,-157.9966/121.4/243.8664,0.707107/0.000000/-0.707107/0.000000,1/1/1,0,0
Bridge.X,-198.9431/132.6337/251.4313,-0.390684/-0.537784/-0.410761/0.624044,2/2.000001/1,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.6/13.00001/1,1,0
Bridge.X,-187.3315/134.2377/250.216,-0.419462/-0.503337/-0.521472/0.546599,2.000001/2/0.9999999,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.600001/13/0.9999999,1,0
Bridge.X,-173.39/133.5485/250.8837,-0.504879/-0.450996/-0.555368/0.482976,2/2/1,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.6/13/1,1,0
house1.X,-114/121.4/230.4,0.000000/0.000000/-1.000000/0.000000,1/1/1,0,0
Bridge.X,-197.5253/134.1977/246.2194,-0.287321/-0.599923/-0.672133/0.325232,2.000001/2.000001/1.000001,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.600002/13.00001/1.000001,1,0
Bridge.X,-207.9883/135.6808/242.4941,0.534928/0.460434/0.542295/-0.455816,2/2/1,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.600001/13/1,1,0
Bridge.X,-214.23/137.6/237.42,0.707093/0.004350/0.004350/-0.707093,2/2.000001/1,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.600001/13/1,1,0
Bridge.X,-214.1/137.6/225.2,0.707093/0.004350/0.004350/-0.707093,2/2.000001/1.000001,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.6/13/1.000001,1,0
Bridge.X,-216.174/135.2291/213.8183,0.782001/-0.038078/-0.086140/-0.616120,2/2.000001/1.000001,0,1
coll,0/0/0.435,0.000000/0.000000/0.000000/1.000000,3.6/13.00001/1.000001,1,0
house1.X,-158.9781/121.4/267.8671,0.681354/0.000000/-0.731955/0.000000,1/1/1,0,0
house2.X,-155.42/124.8/290.2,1.000000/0.000000/0.000000/0.000000,0.9999998/1/0.9999998,0,0
3rdHouse.X,-183.8/118.95/291.08,-0.056403/0.595771/-0.042000/0.800070,1.000001/1/1.000001,0,0
1st_saku.X,-195.3457/122.14/288.2437,-0.481585/-0.131169/-0.158815/0.851850,0.9999999/1/0.9999998,0,0
1st_saku.X,-201.3471/122.6194/276.0729,0.259962/0.176377/-0.192683/0.929615,1/1/1,0,0
1st_saku.X,-213.2907/120.9265/277.8452,-0.385276/0.141550/0.219544/0.885058,1/1/1,0,0
1st_saku.X,-208.2065/122.08/278.034,0.102730/-0.314242/-0.642462/0.691333,1/1/1,0,0
1st_saku.X,-202.14/122.52/294.43,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-181.95/122.49/260.96,0.540212/-0.126273/-0.026452/0.831581,0.9999999/1/1,0,0
