name,pos,ang,sca,coll
Building_B.X,233.7/65.95/-39.5,-0.500000/-0.500000/-0.500000/0.500000,1/1/1,0,0
Building_B.X,211.2/65.95/-39.5,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Building_A.X,237.7/65.8/-48.3,0.000000/0.707107/0.707107/0.000000,1/1/1,0,0
Building_A.X,198/65.8/-46.3,0.000000/0.707107/0.707107/0.000000,1.000001/1.000001/1.000001,0,0
Building_B.X,210.5013/65.95/-81.33766,-0.502633/0.497353/0.497353/0.502633,0.9999999/0.9999999/1,0,0
Building_B.X,233/65.95/-81.1,0.497353/0.502633/0.502633/-0.497353,1/1/1,0,0
Building_A.X,206.4085/65.8/-72.58036,0.707097/0.003733/0.003733/-0.707097,1.000001/1/1,0,0
Building_A.X,246.1275/65.8/-74.16095,0.707097/0.003733/0.003733/-0.707097,1.000001/1/1,0,0
Building_A.X,186.8/65.8/-33.9,-0.500000/-0.500000/-0.500000/0.500000,1/1/1,0,0
Building_A.X,186.8/65.8/-52.4,-0.500000/-0.500000/-0.500000/0.500000,1/1/1,0,0
Building_A.X,186.8/65.8/-68.8,-0.500000/-0.500000/-0.500000/0.500000,1/1/1,0,0
Building_B.X,256.7/65.95/-39.5,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Building_B.X,256.7/65.95/-59.2,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Building_B.X,256.7/65.95/-79.2,-0.500000/0.500000/0.500000/0.500000,1/1/1,0,0
Building_e.X,220.9/68.59/-124,0.000000/0.707107/0.707107/0.000000,1/1/1,0,0
Bridge.X,228.3/53.2/94.01927,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.50001/5.000001,1,1
Bridge.X,228.3/53.2/94.97,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
Bridge.X,228.3/53.2/63.62927,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.50001/5.000001,1,1
Bridge.X,228.3/53.2/64.58,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
Bridge.X,228.3/53.2/33.23,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.50001/5.000001,1,1
Bridge.X,228.3/53.2/34.18073,-0.707107/0.000000/0.000000/0.707107,5/5.000001/5.000001,0,1
