name,pos,ang,sca,hitCamera,coll
Bridge.X,-479.6331/61.3/286.9698,0.036886/0.706144/0.706144/-0.036886,5/5/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000001/32.5/5,1,1
Bridge.X,-479.7322/61.3/286.0248,0.036886/0.706144/0.706144/-0.036886,5/5/5,0,1
Bridge.X,-476.4452/61.3/317.3729,0.036886/0.706144/0.706144/-0.036886,5.000002/5.000001/5.000002,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000004/32.50001/5.000002,1,1
Bridge.X,-476.5444/61.3/316.4277,0.036886/0.706144/0.706144/-0.036886,5.000002/5.000001/5.000002,0,1
Bridge.X,-292.4/50.7/528.3,-0.298449/0.641037/0.641037/0.298449,5/5/5.000001,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.5/5.000001,1,1
Bridge.X,-291.6728/50.7/527.6882,-0.298449/0.641037/0.641037/0.298449,5/5/5.000001,0,1
1st_ie.X,-372.32/61.34384/-67.47,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_saku.X,-380.99/61.97/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-389.4/62.93/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-401.86/62.61/-47.73,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-411.92/61.41/-54.23,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-372.6/60.72/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-410.19/62.56/-47.73,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
