name,pos,ang,sca,hitCamera,coll
1st_saku.X,-489/66.57/275.4,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-484.85/66.78/275.4,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-480.73/66.97/275.4,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-476.54/67.44/275.4,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-472.37/67.86/275.4,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-468.282/68.88/275.4,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
