name,pos,ang,sca,type,shopid,messeageid,showtitle
villager1.X,219.18/66.922/-30.75,0.000000/0.043619/0.000000/0.999048,0.4000001/0.4/0.4000001,1,8,90,1
villager1.X,130.28/67.027/-84.35,0.000000/0.999048/0.000000/-0.043619,0.4000003/0.4/0.4000003,1,9,90,1
villager1.X,204.778/66.922/-49.5401,0.000000/0.999358/0.000000/0.035834,0.4/0.4/0.4,0,-1,76,1
villager1.X,198.424/66.922/-52.30436,0.000000/0.938686/0.000000/0.344773,0.4/0.4/0.4,0,-1,78,1
villager1.X,195.2692/66.558/-58.08247,0.000000/0.716330/0.000000/0.697762,0.25/0.25/0.25,0,-1,77,1
villager1.X,213.0596/66.922/-69.57729,0.000000/0.300739/0.000000/-0.953707,0.4000002/0.4/0.4000002,0,-1,78,1
villager1.X,146.5/66.922/-75.5,0.000000/-0.627877/0.000000/-0.778313,0.3999999/0.4/0.3999999,0,-1,79,1
villager1.X,151.9884/66.922/-107.4167,0.000000/0.472007/0.000000/-0.881595,0.3999999/0.4/0.3999999,0,-1,80,1
villager1.X,141.6174/66.922/-132.2981,0.000000/-0.492731/0.000000/-0.870182,0.4/0.4/0.4,0,-1,81,1
villager1.X,194.0266/66.558/-106.3311,0.000000/0.064473/0.000000/0.997919,0.25/0.25/0.25,0,-1,82,1
villager1.X,201.4506/66.922/-142.216,0.000000/0.974580/0.000000/0.224038,0.4/0.4/0.4,0,-1,83,1
villager1.X,264.48/66.922/-60.27,0.000000/0.564259/0.000000/-0.825598,0.3999999/0.4/0.3999999,0,-1,84,1
villager1.X,248.009/66.922/-33.96445,0.000000/0.826103/0.000000/0.563520,0.4000001/0.4/0.4000001,0,-1,85,1
villager1.X,253.9764/66.922/-165.5927,0.000000/0.999747/0.000000/-0.022504,0.4000001/0.4/0.4000001,0,-1,86,1
villager1.X,251/66.558/-113.7,0.000000/0.064473/0.000000/0.997919,0.25/0.25/0.25,0,-1,82,1
villager1.X,230/66.922/-19,0.000000/0.999358/0.000000/0.035834,0.4/0.4/0.4,0,-1,88,1
